Age,Income,Employment_Status,Education_Level,Marital_Status,Number_of_Dependents,Credit_Utilization_Ratio,Missed_Payments_90days,Total_Credit_Accounts,Debt_to_Income_Ratio,Length_of_Credit_History,Bankruptcies,Credit_Score,Credit_Score_Label
20,36346.4,Unemployed,Master,Married,0,19.28,3,11,16.43,12.2,0,320.8833333333333,Poor
34,131538.21,Unemployed,PhD,Married,1,33.37,1,12,34.91,12.2,0,488.6783333333333,Poor
32,131724.05,Retired,Bachelor,Divorced,1,48.7,3,11,58.67,7.3,0,300.0,Poor
55,113807.55,Employed,Master,Single,1,45.86,2,3,53.47,15.2,0,578.2466666666667,Poor
49,115033.08,Unemployed,PhD,Single,0,14.13,4,10,32.67,16.9,1,300.0,Poor
33,30051.74,Unemployed,Bachelor,Divorced,2,20.06,1,13,18.17,15.3,0,534.9133333333334,Poor
36,147560.73,Retired,PhD,Married,2,72.97,2,4,29.17,18.6,0,376.7916666666666,Poor
21,114227.45,Employed,Master,Divorced,3,78.56,4,13,19.43,9.3,0,300.0,Poor
48,20979.47,Self-Employed,High School,Divorced,3,54.97,4,9,48.95,3.1,0,300.0,Poor
56,82306.26,Retired,PhD,Single,4,70.88,2,5,53.78,16.2,0,335.6333333333333,Poor
22,115833.43,Unemployed,PhD,Divorced,0,34.56,4,1,37.96,5.4,0,459.0666666666667,Poor
27,80870.14,Employed,Bachelor,Divorced,4,17.35,0,10,30.26,1.9,0,540.2383333333333,Poor
20,119474.81,Retired,PhD,Divorced,1,51.37,3,1,43.66,9.4,0,300.0,Poor
58,130011.89,Unemployed,Master,Single,4,68.97,1,1,49.7,8.2,0,332.9483333333333,Poor
44,95461.75,Self-Employed,Master,Married,4,36.44,0,12,7.11,6.4,0,378.41,Poor
28,115184.0,Self-Employed,PhD,Single,0,65.79,3,14,10.39,5.4,0,376.6416666666667,Poor
68,92254.86,Employed,PhD,Single,3,24.02,2,14,26.61,4.7,0,311.12,Poor
42,115577.65,Unemployed,PhD,Single,0,29.61,4,10,28.98,3.9,0,300.0,Poor
28,56580.82,Employed,High School,Divorced,1,9.03,4,12,46.18,18.5,0,504.0916666666667,Poor
37,37252.9,Unemployed,Bachelor,Single,4,73.79,3,9,32.72,17.1,0,553.1983333333334,Poor
68,53189.85,Retired,Bachelor,Divorced,4,50.1,4,5,58.8,17.0,1,300.0,Poor
68,35644.04,Self-Employed,PhD,Married,4,16.04,3,11,7.58,4.1,1,300.0,Poor
56,45107.27,Unemployed,High School,Married,1,57.92,4,9,24.6,9.7,0,305.84000000000003,Poor
29,93157.54,Self-Employed,Bachelor,Single,0,28.08,0,13,6.01,13.6,0,570.9566666666667,Poor
44,110183.29,Unemployed,Master,Single,4,17.45,3,13,49.39,18.2,0,567.8116666666667,Poor
52,72583.11,Self-Employed,Bachelor,Single,4,67.37,2,10,24.7,8.5,0,486.08166666666665,Poor
41,124965.93,Retired,Master,Divorced,3,14.79,3,4,15.65,12.7,0,353.3883333333333,Poor
62,97320.96,Employed,Bachelor,Single,3,29.47,3,6,47.35,11.2,0,552.4816666666666,Poor
21,39368.94,Retired,Bachelor,Married,3,68.86,1,6,14.26,4.7,0,573.8166666666667,Poor
29,108787.67,Retired,Master,Divorced,3,78.14,3,11,30.89,8.9,0,550.6333333333333,Poor
35,88856.02,Employed,High School,Married,4,68.28,4,14,49.28,18.6,0,501.4333333333333,Poor
40,89554.78,Retired,PhD,Single,4,60.39,2,10,18.77,14.3,0,380.54833333333335,Poor
61,83226.47,Self-Employed,Bachelor,Married,2,13.34,3,9,14.44,13.4,0,333.51666666666665,Poor
51,123186.7,Self-Employed,High School,Married,0,43.0,2,7,25.0,9.6,0,331.16666666666663,Poor
55,88946.07,Self-Employed,Master,Married,1,13.1,1,10,11.99,19.5,0,505.4533333333333,Poor
24,102321.3,Retired,Bachelor,Divorced,1,78.8,3,7,59.61,6.8,0,432.73,Poor
29,61354.5,Retired,High School,Single,0,12.96,4,10,59.41,6.7,0,494.7166666666666,Poor
54,98514.52,Self-Employed,Master,Divorced,2,18.54,1,3,31.68,4.0,0,462.17,Poor
55,64874.98,Employed,High School,Married,3,9.16,3,6,14.02,8.4,0,559.7466666666667,Poor
52,105110.1,Employed,High School,Divorced,1,57.83,2,10,15.4,12.7,0,546.9516666666666,Poor
67,116756.28,Self-Employed,Master,Divorced,1,49.42,0,8,31.18,6.5,0,369.8966666666667,Poor
40,73694.05,Self-Employed,PhD,Married,1,36.95,2,4,18.46,4.7,0,300.0,Poor
49,44598.8,Self-Employed,High School,Married,0,66.54,4,12,25.72,7.9,0,300.0,Poor
48,136508.77,Employed,Bachelor,Divorced,2,26.27,1,8,38.98,5.8,0,358.87166666666667,Poor
66,90507.28,Unemployed,Master,Single,3,51.06,0,10,43.87,9.9,0,577.8466666666667,Poor
58,63728.16,Unemployed,High School,Married,0,28.98,2,3,16.84,1.9,0,522.8966666666666,Poor
29,108787.67,Retired,Master,Divorced,3,78.14,3,11,30.89,8.9,0,550.6333333333333,Poor
28,35170.49,Self-Employed,High School,Married,3,78.16,3,7,18.21,15.0,0,319.85,Poor
35,127263.95,Unemployed,Bachelor,Single,0,11.84,3,11,59.96,17.9,0,506.0933333333333,Poor
38,25741.51,Retired,Master,Single,3,58.58,2,5,9.27,12.9,0,564.62,Poor
54,46650.24,Self-Employed,Bachelor,Divorced,4,53.97,4,5,35.92,8.0,0,352.04166666666663,Poor
42,66197.12,Retired,PhD,Single,1,32.75,2,2,46.19,3.2,0,370.22833333333335,Poor
48,88001.01,Retired,High School,Divorced,4,11.95,0,11,9.33,8.4,0,495.915,Poor
58,98804.53,Employed,High School,Married,3,52.14,3,7,56.37,13.6,1,519.14,Poor
68,35294.37,Unemployed,PhD,Divorced,2,68.37,4,4,34.86,9.1,0,498.195,Poor
47,79668.57,Unemployed,High School,Single,3,19.96,1,5,49.18,12.3,0,416.62666666666667,Poor
42,64662.86,Self-Employed,Master,Divorced,3,54.03,1,8,19.73,14.2,0,509.40833333333336,Poor
68,53189.85,Retired,Bachelor,Divorced,4,50.1,4,5,58.8,17.0,1,300.0,Poor
55,110604.99,Unemployed,Bachelor,Married,2,9.94,3,8,8.67,7.7,0,309.14,Poor
44,89992.19,Unemployed,High School,Married,1,62.95,3,6,30.33,3.9,0,300.0,Poor
48,88001.01,Retired,High School,Divorced,4,11.95,0,11,9.33,8.4,0,495.915,Poor
63,74391.97,Self-Employed,Master,Single,3,76.31,1,3,32.61,10.9,1,328.975,Poor
36,41017.43,Retired,Bachelor,Divorced,4,67.24,2,1,32.58,2.8,0,300.0,Poor
48,45037.87,Retired,Bachelor,Married,1,49.11,0,3,9.56,1.6,0,366.2583333333333,Poor
40,89554.78,Retired,PhD,Single,4,60.39,2,10,18.77,14.3,0,380.54833333333335,Poor
54,78025.81,Unemployed,High School,Married,0,17.73,3,1,23.38,1.3,0,389.3416666666666,Poor
46,145235.09,Unemployed,PhD,Single,3,64.35,4,7,13.84,15.7,1,321.21166666666664,Poor
38,64417.69,Self-Employed,Bachelor,Married,3,55.23,1,12,11.88,6.3,0,416.425,Poor
20,70911.92,Retired,PhD,Single,2,74.88,0,2,27.17,17.2,0,504.5033333333333,Poor
23,146641.4,Retired,PhD,Married,4,57.12,3,7,28.15,2.7,0,300.0,Poor
63,56086.33,Employed,High School,Single,3,61.41,0,3,34.89,6.8,0,345.665,Poor
53,69454.56,Retired,High School,Married,0,41.93,4,12,19.77,10.2,1,300.0,Poor
58,98804.53,Employed,High School,Married,3,52.14,3,7,56.37,13.6,1,519.14,Poor
58,63728.16,Unemployed,High School,Married,0,28.98,2,3,16.84,1.9,0,522.8966666666666,Poor
59,76835.14,Self-Employed,Bachelor,Divorced,3,62.67,2,9,31.24,5.4,0,551.2516666666667,Poor
45,22056.74,Unemployed,High School,Single,3,35.17,0,10,40.16,6.1,0,344.02833333333336,Poor
25,123939.83,Employed,Bachelor,Single,4,79.74,3,1,25.38,18.4,0,477.67,Poor
69,120092.81,Employed,High School,Single,3,10.23,1,7,37.84,8.2,0,481.27166666666665,Poor
67,113626.34,Unemployed,Master,Married,2,52.3,4,8,22.43,13.4,0,306.37333333333333,Poor
35,123738.61,Self-Employed,PhD,Single,1,11.28,3,13,40.1,4.2,2,332.99333333333334,Poor
51,63179.03,Self-Employed,Master,Married,1,79.08,1,9,46.05,10.5,0,375.11,Poor
53,56361.46,Self-Employed,Bachelor,Divorced,4,20.68,1,5,38.37,18.4,0,496.87,Poor
47,145016.55,Retired,PhD,Single,3,17.89,1,10,33.2,4.3,0,425.9883333333333,Poor
68,35294.37,Unemployed,PhD,Divorced,2,68.37,4,4,34.86,9.1,0,498.195,Poor
28,35170.49,Self-Employed,High School,Married,3,78.16,3,7,18.21,15.0,0,319.85,Poor
44,95461.75,Self-Employed,Master,Married,4,36.44,0,12,7.11,6.4,0,378.41,Poor
43,40701.95,Self-Employed,High School,Divorced,4,60.8,4,2,22.04,2.0,0,459.2533333333333,Poor
23,118812.23,Retired,Master,Single,4,43.47,3,11,36.57,12.6,0,441.075,Poor
24,146974.28,Self-Employed,Bachelor,Married,3,18.09,1,6,35.86,17.2,0,546.0016666666667,Poor
42,44109.65,Employed,Master,Divorced,0,38.92,1,6,53.94,12.1,0,352.56,Poor
29,132637.03,Self-Employed,PhD,Single,3,44.85,3,13,7.16,17.5,0,535.1883333333333,Poor
58,63728.16,Unemployed,High School,Married,0,28.98,2,3,16.84,1.9,0,522.8966666666666,Poor
49,122701.76,Retired,High School,Married,2,28.8,0,4,29.69,10.4,0,457.7033333333334,Poor
61,21233.11,Unemployed,Bachelor,Married,0,54.69,0,9,19.44,1.8,0,564.175,Poor
61,82517.5,Retired,Master,Divorced,2,67.73,2,1,44.11,8.1,1,513.4316666666666,Poor
24,107150.11,Retired,PhD,Single,2,68.32,1,1,46.46,6.8,0,372.35333333333335,Poor
22,132384.07,Unemployed,High School,Divorced,1,78.99,4,1,9.59,7.0,0,502.3083333333333,Poor
25,86982.23,Retired,Master,Single,3,15.74,3,1,34.74,13.7,0,379.55,Poor
68,113845.39,Employed,Master,Divorced,1,45.1,0,9,43.09,4.3,1,347.08666666666664,Poor
37,37252.9,Unemployed,Bachelor,Single,4,73.79,3,9,32.72,17.1,0,553.1983333333334,Poor
47,148977.33,Self-Employed,Master,Married,4,60.93,3,8,26.07,6.8,0,562.845,Poor
59,68338.36,Unemployed,High School,Married,4,44.75,4,9,31.61,14.2,0,300.0,Poor
61,21233.11,Unemployed,Bachelor,Married,0,54.69,0,9,19.44,1.8,0,564.175,Poor
54,80750.4,Unemployed,Bachelor,Married,0,72.74,2,2,55.1,3.3,0,300.0,Poor
58,61872.31,Self-Employed,Bachelor,Divorced,2,68.0,4,6,57.02,3.3,0,485.9933333333333,Poor
29,61354.5,Retired,High School,Single,0,12.96,4,10,59.41,6.7,0,494.7166666666666,Poor
45,20435.03,Employed,Master,Divorced,4,5.07,2,11,25.87,13.9,0,357.8416666666667,Poor
31,117922.01,Retired,PhD,Single,3,60.67,0,7,21.02,19.7,0,510.65833333333336,Poor
53,29266.44,Self-Employed,Bachelor,Married,1,61.1,2,6,32.13,9.5,0,360.74,Poor
28,148270.09,Employed,High School,Single,1,70.75,2,1,41.85,15.4,0,460.675,Poor
23,146641.4,Retired,PhD,Married,4,57.12,3,7,28.15,2.7,0,300.0,Poor
45,24604.91,Unemployed,Master,Married,2,73.39,1,3,8.34,4.1,0,300.0,Poor
62,123971.54,Unemployed,Master,Single,1,14.31,3,4,20.74,12.3,0,307.9316666666667,Poor
28,25298.03,Employed,Bachelor,Married,0,42.68,3,12,7.86,7.9,0,388.04,Poor
69,41319.93,Retired,PhD,Married,4,6.08,4,1,52.29,2.0,0,300.0,Poor
31,117922.01,Retired,PhD,Single,3,60.67,0,7,21.02,19.7,0,510.65833333333336,Poor
33,30051.74,Unemployed,Bachelor,Divorced,2,20.06,1,13,18.17,15.3,0,534.9133333333334,Poor
31,117922.01,Retired,PhD,Single,3,60.67,0,7,21.02,19.7,0,510.65833333333336,Poor
48,20979.47,Self-Employed,High School,Divorced,3,54.97,4,9,48.95,3.1,0,300.0,Poor
69,80052.57,Unemployed,Master,Married,3,69.76,3,13,5.2,10.3,0,511.38666666666666,Poor
22,115833.43,Unemployed,PhD,Divorced,0,34.56,4,1,37.96,5.4,0,459.0666666666667,Poor
61,21233.11,Unemployed,Bachelor,Married,0,54.69,0,9,19.44,1.8,0,564.175,Poor
61,82517.5,Retired,Master,Divorced,2,67.73,2,1,44.11,8.1,1,513.4316666666666,Poor
64,115595.54,Retired,Master,Married,3,57.95,2,11,12.21,13.9,0,356.95500000000004,Poor
25,130256.65,Retired,High School,Single,3,61.76,0,10,20.81,4.0,0,516.1833333333334,Poor
44,110183.29,Unemployed,Master,Single,4,17.45,3,13,49.39,18.2,0,567.8116666666667,Poor
64,120880.03,Retired,Bachelor,Divorced,1,74.47,0,3,38.64,10.6,0,552.885,Poor
47,98103.8,Retired,PhD,Single,4,16.39,4,14,57.12,6.0,0,306.765,Poor
60,132348.1,Employed,High School,Divorced,2,23.02,3,12,44.62,12.7,0,471.6166666666667,Poor
36,81517.32,Employed,PhD,Married,0,53.16,2,2,14.88,7.6,0,563.46,Poor
52,145800.92,Unemployed,PhD,Single,2,60.86,3,11,14.18,9.4,0,313.84333333333336,Poor
45,148534.74,Employed,Master,Married,0,66.68,2,8,56.61,2.5,0,501.79,Poor
38,74067.96,Retired,High School,Divorced,0,57.47,1,1,14.7,4.9,0,559.365,Poor
67,49721.27,Unemployed,Bachelor,Single,3,64.48,4,2,20.38,13.1,0,300.0,Poor
58,137846.78,Unemployed,Master,Married,2,70.34,0,4,6.71,16.9,0,524.5933333333332,Poor
66,104066.44,Self-Employed,Master,Divorced,1,14.64,3,11,39.86,4.7,0,300.0,Poor
62,43996.07,Retired,Master,Married,1,14.11,4,3,28.31,2.7,0,300.0,Poor
51,121368.64,Employed,PhD,Single,4,6.67,1,9,53.47,3.0,0,456.8416666666667,Poor
38,25741.51,Retired,Master,Single,3,58.58,2,5,9.27,12.9,0,564.62,Poor
51,98415.66,Unemployed,High School,Single,1,72.71,1,5,14.41,12.5,0,382.8416666666666,Poor
41,60897.55,Retired,Bachelor,Divorced,2,43.49,1,2,55.02,16.6,0,445.915,Poor
48,132847.06,Employed,Bachelor,Married,2,5.12,3,3,15.06,11.8,0,448.42,Poor
20,128014.03,Retired,PhD,Divorced,4,6.5,3,1,28.67,5.9,0,557.1933333333334,Poor
56,20160.14,Employed,Master,Divorced,4,56.49,3,1,16.08,19.8,0,460.395,Poor
64,115595.54,Retired,Master,Married,3,57.95,2,11,12.21,13.9,0,356.95500000000004,Poor
58,58241.84,Employed,Master,Married,2,25.59,4,7,50.96,2.6,0,367.2183333333333,Poor
62,43996.07,Retired,Master,Married,1,14.11,4,3,28.31,2.7,0,300.0,Poor
59,81238.51,Self-Employed,High School,Divorced,3,46.24,3,6,39.99,5.7,0,396.55,Poor
37,83021.19,Retired,High School,Single,1,13.61,0,4,28.64,7.4,1,452.6483333333333,Poor
67,85057.89,Self-Employed,Bachelor,Single,4,68.16,2,6,30.89,1.6,0,300.0,Poor
65,79391.62,Employed,High School,Single,3,43.79,4,6,25.26,16.3,0,300.0,Poor
29,93157.54,Self-Employed,Bachelor,Single,0,28.08,0,13,6.01,13.6,0,570.9566666666667,Poor
29,132637.03,Self-Employed,PhD,Single,3,44.85,3,13,7.16,17.5,0,535.1883333333333,Poor
69,103857.04,Employed,PhD,Married,3,49.08,0,5,24.53,9.7,0,372.2833333333333,Poor
57,80555.66,Self-Employed,High School,Married,2,66.52,3,14,19.7,1.3,0,572.1733333333333,Poor
50,21179.41,Unemployed,Master,Single,4,27.97,2,12,38.21,5.4,0,347.2783333333333,Poor
35,24532.47,Employed,PhD,Single,3,65.93,3,8,40.32,9.9,0,300.0,Poor
51,121368.64,Employed,PhD,Single,4,6.67,1,9,53.47,3.0,0,456.8416666666667,Poor
58,58241.84,Employed,Master,Married,2,25.59,4,7,50.96,2.6,0,367.2183333333333,Poor
27,40709.52,Self-Employed,High School,Married,0,25.37,1,12,16.71,4.2,1,300.0,Poor
48,20979.47,Self-Employed,High School,Divorced,3,54.97,4,9,48.95,3.1,0,300.0,Poor
35,122544.91,Retired,High School,Single,0,78.32,2,7,29.52,16.1,0,494.00000000000006,Poor
56,127406.74,Unemployed,Master,Divorced,2,5.51,4,8,53.54,18.7,0,343.3983333333333,Poor
69,53049.2,Self-Employed,Bachelor,Single,3,56.86,1,6,36.37,7.4,0,509.44666666666666,Poor
61,127267.25,Unemployed,Bachelor,Single,3,57.53,4,7,36.29,14.4,0,473.1383333333333,Poor
67,113626.34,Unemployed,Master,Married,2,52.3,4,8,22.43,13.4,0,306.37333333333333,Poor
41,139261.43,Unemployed,PhD,Divorced,3,40.73,0,10,25.1,13.2,0,404.2683333333333,Poor
45,20435.03,Employed,Master,Divorced,4,5.07,2,11,25.87,13.9,0,357.8416666666667,Poor
47,79668.57,Unemployed,High School,Single,3,19.96,1,5,49.18,12.3,0,416.62666666666667,Poor
65,34986.66,Unemployed,Master,Divorced,1,28.71,4,9,39.1,18.9,0,434.6116666666667,Poor
67,103580.32,Self-Employed,Bachelor,Single,3,9.43,4,12,9.76,9.1,0,437.0316666666667,Poor
32,119804.11,Unemployed,High School,Single,2,42.78,3,14,47.14,6.5,1,300.0,Poor
42,74821.51,Employed,Master,Single,3,13.43,3,6,31.5,1.6,0,348.785,Poor
44,117812.41,Employed,PhD,Married,4,38.91,3,2,52.82,7.0,0,300.0,Poor
47,45494.7,Unemployed,PhD,Divorced,1,6.94,2,3,30.28,11.0,0,301.43666666666667,Poor
55,32661.14,Retired,Bachelor,Divorced,0,47.33,3,6,54.23,7.6,0,318.2583333333333,Poor
38,97079.39,Self-Employed,Master,Married,1,48.99,4,11,52.26,7.8,0,367.085,Poor
58,123971.66,Employed,PhD,Married,1,23.55,3,11,25.84,13.2,0,435.6116666666667,Poor
56,127406.74,Unemployed,Master,Divorced,2,5.51,4,8,53.54,18.7,0,343.3983333333333,Poor
52,95498.44,Retired,Bachelor,Divorced,3,60.19,3,10,31.57,10.4,2,477.38166666666666,Poor
51,84611.55,Unemployed,Bachelor,Single,3,45.72,4,2,52.14,2.4,0,534.76,Poor
62,123971.54,Unemployed,Master,Single,1,14.31,3,4,20.74,12.3,0,307.9316666666667,Poor
29,132637.03,Self-Employed,PhD,Single,3,44.85,3,13,7.16,17.5,0,535.1883333333333,Poor
47,79668.57,Unemployed,High School,Single,3,19.96,1,5,49.18,12.3,0,416.62666666666667,Poor
50,37195.91,Self-Employed,PhD,Single,0,29.9,3,13,32.67,17.7,0,359.16,Poor
29,93157.54,Self-Employed,Bachelor,Single,0,28.08,0,13,6.01,13.6,0,570.9566666666667,Poor
38,84255.6,Retired,High School,Single,1,32.91,3,10,11.08,3.3,0,300.0,Poor
24,38202.41,Self-Employed,Bachelor,Divorced,0,50.92,1,13,20.71,1.0,0,373.6366666666667,Poor
56,41029.35,Unemployed,High School,Divorced,0,79.66,3,1,59.75,13.4,0,568.2533333333333,Poor
63,74391.97,Self-Employed,Master,Single,3,76.31,1,3,32.61,10.9,1,328.975,Poor
59,148891.79,Employed,PhD,Divorced,3,11.32,1,6,21.68,15.9,0,429.1133333333333,Poor
29,140848.76,Retired,Master,Divorced,1,66.62,3,5,27.15,5.3,0,518.64,Poor
67,116756.28,Self-Employed,Master,Divorced,1,49.42,0,8,31.18,6.5,0,369.8966666666667,Poor
35,127263.95,Unemployed,Bachelor,Single,0,11.84,3,11,59.96,17.9,0,506.0933333333333,Poor
49,102840.11,Retired,PhD,Divorced,3,11.85,1,12,39.54,8.8,0,489.895,Poor
38,74067.96,Retired,High School,Divorced,0,57.47,1,1,14.7,4.9,0,559.365,Poor
54,46650.24,Self-Employed,Bachelor,Divorced,4,53.97,4,5,35.92,8.0,0,352.04166666666663,Poor
44,40301.3,Employed,High School,Divorced,3,67.47,0,14,10.84,2.3,0,549.6516666666666,Poor
42,65314.58,Self-Employed,Bachelor,Married,3,41.35,1,8,21.68,1.6,0,558.0983333333334,Poor
61,46111.68,Unemployed,Master,Married,3,58.17,4,8,47.61,13.3,1,300.0,Poor
66,85793.51,Unemployed,Bachelor,Married,2,28.06,0,6,32.65,5.8,0,520.0866666666667,Poor
23,44232.65,Retired,Bachelor,Single,3,62.78,0,14,53.49,13.8,0,501.78,Poor
67,31920.91,Retired,Master,Married,1,52.89,3,8,16.03,11.2,0,331.2116666666667,Poor
28,117391.01,Self-Employed,High School,Single,1,72.81,1,3,27.55,6.4,0,563.4116666666666,Poor
39,69728.42,Unemployed,Master,Single,0,44.96,1,7,27.2,14.7,0,407.4533333333333,Poor
47,111700.13,Retired,PhD,Married,1,48.62,1,13,7.78,5.8,0,352.0966666666667,Poor
22,132384.07,Unemployed,High School,Divorced,1,78.99,4,1,9.59,7.0,0,502.3083333333333,Poor
33,38047.22,Employed,PhD,Married,1,53.89,1,3,46.52,11.0,0,462.54833333333335,Poor
59,82371.57,Self-Employed,High School,Single,0,6.42,4,5,51.83,8.5,0,321.5133333333333,Poor
59,148891.79,Employed,PhD,Divorced,3,11.32,1,6,21.68,15.9,0,429.1133333333333,Poor
31,115408.29,Retired,High School,Single,3,49.84,4,1,56.07,3.2,0,300.0,Poor
51,68837.39,Self-Employed,Bachelor,Divorced,3,31.85,2,5,16.84,15.1,0,568.4616666666666,Poor
69,53049.2,Self-Employed,Bachelor,Single,3,56.86,1,6,36.37,7.4,0,509.44666666666666,Poor
35,68556.26,Self-Employed,Bachelor,Single,2,25.97,0,8,54.23,9.5,0,378.9383333333333,Poor
42,64662.86,Self-Employed,Master,Divorced,3,54.03,1,8,19.73,14.2,0,509.40833333333336,Poor
57,87769.09,Unemployed,Master,Married,4,9.57,0,2,8.95,1.3,0,550.2316666666667,Poor
64,49773.3,Self-Employed,Bachelor,Married,4,48.48,0,10,55.64,20.0,0,483.2133333333333,Poor
67,58386.18,Unemployed,High School,Single,3,59.08,2,14,40.74,12.5,1,314.88,Poor
63,145839.23,Employed,Master,Married,4,24.26,4,7,38.38,8.5,0,463.07666666666665,Poor
44,144031.3,Retired,High School,Married,0,14.57,3,10,31.52,7.7,0,374.2083333333333,Poor
69,80052.57,Unemployed,Master,Married,3,69.76,3,13,5.2,10.3,0,511.38666666666666,Poor
